filename,title,document_type,author,year,theme,ria_dimension,source_url,source_type
european_health_data_space_EU_2025.pdf,Regulation (EU) 2025/327 of the European Parliament and of the Council,Legislação,European Parliament and Council of the European Union,2025,Espaço Europeu de Dados de Saúde,Privacidade e Segurança; Governança; Transparência,https://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=OJ:L_202500327,PDF
gdpr_regulation_EU_2016.pdf,Regulation (EU) 2016/679 of the European Parliament and of the Council,Legislação,European Parliament and Council of the European Union,2016,Proteção de dados pessoais,Privacidade e Segurança; Transparência; Responsabilização,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,PDF
global_digital_health_strategy_WHO_2020_2027.pdf,Global strategy on digital health 2020 - 2027,Institucional,World Health Organization (WHO),2025,Estratégia global de saúde digital,Governança; Privacidade e Segurança,https://iris.who.int/server/api/core/bitstreams/0e489e36-bb8a-4d5f-8fda-1aa9d06b7d8e/content,PDF
good_ml_practice_guiding_principles_FDA_2021.pdf,Good Machine Learning Practice for Medical Device Development: Guiding Principles,Institucional,U.S. Food & Drug Administration (FDA); Health Canada; Medicines and Healthcare products Regulatory Agency (MHRA),2021,Boas práticas de aprendizado de máquina para desenvolvimento de dispositivos médicos,Governança; Responsabilização; Transparência,https://www.fda.gov/media/153486/download,PDF
imdrf_good_ml_practice_2025.pdf,Good machine learning practice for medical device development: Guiding principles,Institucional,International Medical Device Regulators Forum (IMDRF),2025,Boas práticas de aprendizado de máquina para desenvolvimento de dispositivos médicos,Governança; Responsabilização; Transparência,https://www.imdrf.org/sites/default/files/2025-01/IMDRF%20AIML%20WG%20GMLP%20N88%20Final.pdf,PDF
imdrf_ml_medical_devices_terms_2022.pdf,Machine Learning-enabled Medical Devices: Key Terms and Definitions,Institucional,International Medical Device Regulators Forum (IMDRF),2022,Termos e definições de dispositivos médicos habilitados por aprendizado de máquina,Governança; Transparência,https://www.imdrf.org/sites/default/files/2022-05/IMDRF%20AIMD%20WG%20Final%20Document%20N67.pdf,PDF
imdrf_samd_clinical_evaluation_2017.pdf,Software as a Medical Device (SaMD): Clinical Evaluation,Institucional,International Medical Device Regulators Forum (IMDRF),2017,Avaliação clínica de software como dispositivo médico,Governança; Responsabilização,https://www.imdrf.org/sites/default/files/docs/imdrf/final/technical/imdrf-tech-170921-samd-n41-clinical-evaluation_1.pdf,PDF
imdrf_samd_risk_framework_2014.pdf,"""Software as a Medical Device"": Possible Framework for Risk Categorization and Corresponding Considerations",Institucional,International Medical Device Regulators Forum (IMDRF),2014,Estrutura para categorização de risco de software como dispositivo médico,Governança; Responsabilização,https://www.imdrf.org/sites/default/files/docs/imdrf/final/technical/imdrf-tech-140918-samd-framework-risk-categorization-141013.pdf,PDF
justice_data_governance_OECD_2024.pdf,Towards effective governance of justice data,Institucional,Organisation for Economic Co-operation and Development (OECD),2024,Governança de dados de justiça,Governança; Privacidade e Segurança; Transparência,https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/04/towards-effective-governance-of-justice-data_d2950e02/39db1f05-en.pdf,PDF
multimodal_models_guidance_WHO_2024.pdf,Ethics and governance of artificial intelligence for health. Guidance on large multi-modal models,Institucional,World Health Organization (WHO),2024,Ética e governança de grandes modelos multimodais aplicados à saúde,Todas,https://iris.who.int/bitstream/handle/10665/375579/9789240084759-eng.pdf,PDF
plano_brasileiro_ia_BR_2025.pdf,Plano Brasileiro de Inteligência Artificial,Institucional,"Ministério da Ciência, Tecnologia e Inovações (MCTI) - Governo Federal do Brasil",2025,Plano nacional de inteligência artificial,Todas,https://www.gov.br/mcti/pt-br/centrais-de-conteudo/publicacoes-mcti/plano-brasileiro-de-inteligencia-artificial/pbia_mcti_2025.pdf,PDF
predetermined_change_control_FDA_2023.pdf,Predetermined Change Control Plans for Machine Learning-Enabled Medical Devices: Guiding Principles,Institucional,U.S. Food & Drug Administration (FDA); Health Canada; Medicines and Healthcare products Regulatory Agency (MHRA),2023,Planos predeterminados de controle de mudanças para dispositivos médicos habilitados por aprendizado de máquina,Governança; Responsabilização; Transparência,https://www.fda.gov/media/173206/download,PDF
projeto_lei_2338_BR_2023.pdf,PL 2338/2023,Legislação,Congresso Nacional do Brasil,2025,"Regulação do desenvolvimento, fomento e uso ético e responsável da inteligência artificial",Todas,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2868197&filename=PL%202338/2023,PDF
regulatory_considerations_ai_health_WHO_2024.pdf,Regulatory considerations on artificial intelligence for health,Institucional,World Health Organization (WHO),2023,Considerações regulatórias sobre IA aplicada à saúde,Governança; Responsabilização; Transparência,https://iris.who.int/bitstream/handle/10665/373421/9789240078871-eng.pdf,PDF
resolucao_1627_CFM_2001.pdf,Resolução CFM nº 1.627/2001,Legislação,Conselho Federal de Medicina (CFM),2001,Definição do ato profissional médico,Governança; Responsabilização,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2001/1627_2001.pdf,PDF
resolucao_1638_CFM_2002.pdf,Resolução CFM nº 1.638/2002,Legislação,Conselho Federal de Medicina (CFM),2002,Prontuário médico e comissão de revisão de prontuários,Privacidade e Segurança; Governança; Responsabilização,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2002/1638_2002.pdf,PDF
resolucao_1821_CFM_2007.pdf,Resolução CFM nº 1.821/2007,Legislação,Conselho Federal de Medicina (CFM),2007,Digitalização e uso de sistemas informatizados para guarda e manuseio de prontuários,Privacidade e Segurança; Governança; Responsabilização,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2007/1821_2007.pdf,PDF
resolucao_2306_CFM_2022.pdf,Resolução CFM nº 2.306/2022,Legislação,Conselho Federal de Medicina (CFM),2022,Código de Processo Ético-Profissional,Governança; Responsabilização; Transparência,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2022/2306_2022.pdf,PDF
resolucao_2314_CFM_2022.pdf,Resolução CFM nº 2.314/2022,Legislação,Conselho Federal de Medicina (CFM),2022,Telemedicina,Privacidade e Segurança; Governança; Responsabilização; Transparência,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2022/2314_2022.pdf,PDF
resolucao_2336_CFM_2023.pdf,Resolução CFM nº 2.336/2023,Legislação,Conselho Federal de Medicina (CFM),2024,Publicidade e propaganda médicas,Governança; Responsabilização; Transparência,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2023/2336_2023.pdf,PDF
resolucao_2424_CFM_2025.pdf,"Resolução CFM nº 2.424, de 27 de março de 2025",Legislação,Conselho Federal de Medicina (CFM),2025,Código de Processo Ético-Profissional,Governança; Responsabilização; Transparência,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2025/2424_2025.pdf,PDF
resolucao_2454_CFM_2026.pdf,"Resolução CFM nº 2.454, de 11 de fevereiro de 2026",Legislação,Conselho Federal de Medicina (CFM),2026,Uso ético de inteligência artificial na medicina,Todas,https://sistemas.cfm.org.br/normas/arquivos/resolucoes/BR/2026/2454_2026.pdf,PDF
resolucao_UFMG_01_2022.pdf,"Resolução nº 01/2022, de 17 de fevereiro de 2022",Legislação,Universidade Federal de Minas Gerais (UFMG),2022,Regulamentação do Comitê de Ética em Pesquisa da UFMG,Governança; Responsabilização,https://www.ufmg.br/bioetica/coep/wp-content/uploads/2022/03/Resolucao-012022.pdf,PDF
transparency_ml_devices_FDA_2024.pdf,Transparency for Machine Learning-Enabled Medical Devices: Guiding Principles,Institucional,U.S. Food & Drug Administration (FDA); Health Canada; Medicines and Healthcare products Regulatory Agency (MHRA),2024,Transparência para dispositivos médicos habilitados por aprendizado de máquina,Transparência; Governança; Responsabilização,https://www.fda.gov/media/179263/download,PDF
iso_38507_2022,ISO/IEC 38507:2022,Norma técnica,International Organization for Standardization (ISO),2022,Implicações de governança no uso de IA,Governança,https://www.iso.org/standard/56641.html,HTML
iso_22989_2022,ISO/IEC 22989:2022,Norma técnica,International Organization for Standardization (ISO),2022,Conceitos e terminologia de IA,Responsabilização; Transparência; Justiça,https://www.iso.org/standard/74296.html,HTML
iso_24368_2022,ISO/IEC TR 24368:2022,Norma técnica,International Organization for Standardization (ISO),2022,Preocupações éticas e sociais referentes a IA,Privacidade e Segurança; Justiça,https://www.iso.org/standard/78507.html,HTML
iso_42001_2023,ISO/IEC 42001:2023,Norma técnica,International Organization for Standardization (ISO),2023,Sistema de gerenciamento de IA,Governança,https://www.iso.org/standard/42001,HTML
lgpd_BR_2018,Lei Geral de Proteção de Dados Pessoais (LGPD),Legislação,Congresso Nacional e Presidência da República do Brasil,2018,Legislação sobre proteção de dados pessoais,Todas,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,HTML
ai_principles_OECD_,OECD AI Principles overview,Institucional,Organisation for Economic Co-operation and Development (OECD),,Princípios de IA,Todas,https://oecd.ai/en/ai-principles,HTML
resolucao_2_ANPD_2024,"Resolução CD/ANPD nº 2, de 27 de janeiro de 2022",Legislação,Autoridade Nacional de Proteção de Dados Pessoais (ANPD),2022,Regulamento sobre LGPD para agentes de tratamento de pequeno porte,Privacidade e Segurança,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-2-de-27-de-janeiro-de-2022,HTML
dpia_ICO_,What is a DPIA?,Institucional,Information Commissioner's Office (ICO),,Definição de Data Protection Impact Assessment (DPIA),Privacidade e Segurança,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/accountability-and-governance/data-protection-impact-assessments-dpias/what-is-a-dpia/#what1,HTML
cdc_BR_1990,Código de Defesa do Consumidor,Legislação,Congresso Nacional e Presidência da República do Brasil,1990,Legislação sobre Direito do Consumidor,Governança,https://www.planalto.gov.br/ccivil_03/leis/l8078compilado.htm,HTML
iso_5338_2023,ISO/IEC 5338:2023,Norma técnica,International Organization for Standardization (ISO),2023,Ciclo de vida de sistemas de IA,Governança; Transparência,https://www.iso.org/standard/81118.html,HTML
iso_27701_2025,ISO/IEC 27701:2025,Norma técnica,International Organization for Standardization (ISO),2025,Privacidade da informação em sistemas de gerenciamento,Privacidade e Segurança,https://www.iso.org/standard/27701,HTML
iso_27001_2022,ISO/IEC 27001:2022,Norma técnica,International Organization for Standardization (ISO),2022,Segurança da informação em sistemas de gerenciamento,Privacidade e Segurança,https://www.iso.org/standard/27001,HTML
iso_23894_2023,ISO/IEC 23894:2023,Norma técnica,International Organization for Standardization (ISO),2023,Gerenciamento de risco em sistemas e serviços que utilizam IA,Privacidade e Segurança; Governança,https://www.iso.org/standard/77304.html,HTML
lei_8080_BR_90,"Lei nº 8.080, de 19 de setembro de 1990",Legislação,Congresso Nacional e Presidência da República do Brasil,1990,Saúde e serviços correspondentes,Governança,https://www.planalto.gov.br/ccivil_03/leis/l8080.htm,HTML
cp_BR_1940,Código Penal,Legislação,Presidência da República do Brasil,1940,Legislação sobre Direito Penal,Governança,https://www.planalto.gov.br/ccivil_03/decreto-lei/del2848compilado.htm,HTML
cf_BR_1988,Constituição da República Federativa do Brasil de 1988,Legislação,Assembleia Nacional Constituinte,1988,Constituição Federal do Brasil,Governança,https://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm,HTML
eca_BR_1990,Estatuto da Criança e do Adolescente (ECA),Legislação,Congresso Nacional e Presidência da República do Brasil,1990,Legislação sobre crianças e adolescentes,Governança,https://www.planalto.gov.br/ccivil_03/leis/l8069.htm,HTML
lei_3268_BR_1957,"Lei nº 3.268, de 30 de setembro de 1957",Legislação,Congresso Nacional e Presidência da República do Brasil,1957,Disposições sobre Conselhos de Medicina,Governança,https://www.planalto.gov.br/ccivil_03/leis/l3268.htm,HTML
lei_6681_BR_1979,"Lei nº 6.681, de 16 de agosto de 1979",Legislação,Congresso Nacional e Presidência da República do Brasil,1979,"Disposições sobre inscrições de profissionais militares em Conselhos Regionais de Medicina, Odontologia e Farmácia",Governança,https://www.planalto.gov.br/ccivil_03/leis/1970-1979/l6681.htm,HTML
decreto_44045_BR_1958,"Decreto nº 44.045, de 19 de julho de 1958",Legislação,Presidência da República do Brasil,1958,Regulamento sobre Conselho Federal e Conselhos regionais de Medicina,Governança,https://www.planalto.gov.br/ccivil_03/decreto/1950-1969/d44045.htm,HTML
iso_25237_2017,ISO 25237:2017,Norma técnica,International Organization for Standardization (ISO),2017,Pseudonimização,Privacidade e Segurança,https://www.iso.org/standard/63553.html,HTML
certificacao_SBIS_,Certificação de Aplicações de Inteligência Artificial em Saúde,Certificação,Sociedade Brasileira de Informática em Saúde (SBIS),,Certificação de qualidade de aplicações baseadas em IA,Privacidade e Segurança; Transparência; Governança,https://sbis.org.br/certificacoes/certificacao-de-ia/,HTML
tcud_CEP_2015,Termo de Compromisso de Utilização de Dados (TCUD),Institucional,Comitê de Ética em Pesquisa - CEP-UFMG,2015,Termo de ciência sobre a utilização de dados no contexto de pesquisas,Governança,https://www.ufmg.br/bioetica/cep/tcud/,HTML
regulamento_interno_CEP_2024,Regulamento Interno do Comitê de Ética em Pesquisa da Universidade Federal de Minas Gerais - CEP/UFMG,Institucional,Comitê de Ética em Pesquisa - CEP-UFMG,2024,Regulamento sobre o CEP-UFMG,Governança,https://www.ufmg.br/bioetica/cep/regimento/,HTML
relatorio_pesquisa_CEP_,Relatório de Pesquisa (Comitê de Ética em Pesquisa),Institucional,Comitê de Ética em Pesquisa - CEP-UFMG,,Modelo de relatório de pesquisa no âmbito do CEP,Governança,https://www.ufmg.br/bioetica/cep/modelo-de-relatorio-parcial-ou-final/,HTML
lei_14874_BR_2024,"Lei nº 14.874, de 28 de maio de 2024",Legislação,Congresso Nacional e Presidência da República do Brasil,2024,Disposições sobre pesquisa com seres humanos e sobre o Sistema Nacional de Ética em Pesquisa com Seres Humanos,Governança,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14874.htm,HTML
rnds_MS_,Rede Nacional de Dados em Saúde,Institucional,Ministério da Saúde (MS),,Informações sobre a Rede Nacional de Dados em Saúde (RNDS),Governança,https://www.gov.br/saude/pt-br/composicao/seidigi/rnds,HTML
lei_13787_BR_2018,"Lei nº 13.787, de 27 de dezembro de 2018",Legislação,Congresso Nacional e Presidência da República do Brasil,2018,Disposições sobre digitalização e sistemas informatizados para a guarda e manuseio de prontuário de pacientes,Governança,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13787.htm,HTML
resolucao_19_ANPD_2024,"Resolução CD/ANPD nº 19, de 23 de agosto de 2024",Legislação,Autoridade Nacional de Proteção de Dados Pessoais (ANPD),2024,Regulamento sobre transferência internacional de dados e sobre cláusulas-padrão contratuais,Privacidade e Segurança,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/resolucao-cd-anpd-no-19-de-23-de-agosto-de-2024,HTML
